AssociateID,SupervisorID,Associate State,Supervisor State,StateMatch,Associate License,Who can you supervise?,LicenseMatch,AssocAvailability,SupAvailability,AvailabilityOverlap,AvailabilityScore,SupervisorCapacity,Label,Reason
A001,S052,FL,NY,0,LPCC,"LPC, LMFT",0,"Tue PM, Sat PM, Wed AM, Mon PM","Thu Eve, Fri AM, Thu PM, Mon PM, Fri PM, Tue Eve",1,0.2761,1,0,state_mismatch
A001,S009,FL,FL,1,LPCC,LMHC,0,"Tue PM, Sat PM, Wed AM, Mon PM","Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",0,0.2417,1,0,license_mismatch
A001,S034,FL,GA,0,LPCC,LPC,0,"Tue PM, Sat PM, Wed AM, Mon PM","Fri Eve, Mon AM, Thu PM",0,0.1396,4,0,state_mismatch
A002,S023,CA,GA,0,LMSW,"LPCC, LMFT",0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Wed Eve, Fri PM, Tue PM, Mon AM, Thu Eve",2,0.3219,3,0,state_mismatch
A002,S054,CA,SC,0,LMSW,"LMHC, LPC",0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Wed Eve, Tue AM, Mon PM",0,0.3782,3,0,state_mismatch
A002,S044,CA,CA,1,LMSW,"LMSW, LPCC, LMFT",1,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Wed PM, Mon Eve, Mon AM",2,0.3949,1,1,good_match
A002,S026,CA,GA,0,LMSW,LPC,0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Tue AM, Sat PM, Fri Eve",0,0.1688,1,0,state_mismatch
A002,S029,CA,TX,0,LMSW,LPC,0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Fri Eve, Wed PM, Tue AM, Wed AM",0,0.1453,4,0,state_mismatch
A002,S045,CA,SC,0,LMSW,"LMHC, LPCC",0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Mon AM, Wed PM, Sat AM",2,0.4008,3,0,state_mismatch
A002,S034,CA,GA,0,LMSW,LPC,0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Fri Eve, Mon AM, Thu PM",1,0.318,4,0,state_mismatch
A002,S057,CA,TX,0,LMSW,"LPC, LMSW",1,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Fri AM, Wed PM, Thu AM, Sat PM, Wed Eve",1,0.3292,4,0,state_mismatch
A002,S046,CA,PA,0,LMSW,"LCSW, LPCC, LMSW",1,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Wed Eve, Mon Eve, Sat Eve, Tue AM, Thu Eve, Fri AM",1,0.3658,2,0,state_mismatch
A002,S013,CA,SC,0,LMSW,LPCC,0,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Sat Eve, Tue AM, Thu Eve, Thu AM",1,0.2807,1,0,state_mismatch
A002,S038,CA,FL,0,LMSW,"LMFT, LMSW, LPC",1,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Tue PM, Fri AM, Thu Eve, Mon AM",1,0.3173,2,0,state_mismatch
A002,S049,CA,PA,0,LMSW,"LMHC, LMSW",1,"Fri PM, Thu AM, Mon AM, Mon Eve, Sat AM","Tue AM, Wed AM, Thu AM, Mon PM, Wed PM, Mon AM",2,0.4925,3,0,state_mismatch
A003,S042,OH,SC,0,LMHC,"LCSW, LMFT",0,"Mon Eve, Fri AM","Mon PM, Fri AM, Mon AM, Tue PM, Fri Eve, Thu PM",1,0.3202,2,0,state_mismatch
A003,S052,OH,NY,0,LMHC,"LPC, LMFT",0,"Mon Eve, Fri AM","Thu Eve, Fri AM, Thu PM, Mon PM, Fri PM, Tue Eve",1,0.4295,1,0,state_mismatch
A003,S059,OH,GA,0,LMHC,LCSW,0,"Mon Eve, Fri AM","Thu PM, Mon Eve, Sat Eve, Tue AM",1,0.3167,3,0,state_mismatch
A003,S045,OH,SC,0,LMHC,"LMHC, LPCC",1,"Mon Eve, Fri AM","Mon AM, Wed PM, Sat AM",0,0.143,3,0,state_mismatch
A003,S033,OH,FL,0,LMHC,LMSW,0,"Mon Eve, Fri AM","Fri PM, Mon Eve, Wed Eve, Mon AM",1,0.4118,1,0,state_mismatch
A003,S024,OH,PA,0,LMHC,"LPCC, LMFT",0,"Mon Eve, Fri AM","Sat PM, Sat Eve, Mon AM, Fri PM",0,0.1732,4,0,state_mismatch
A003,S007,OH,FL,0,LMHC,"LPCC, LMHC, LPC",1,"Mon Eve, Fri AM","Thu Eve, Mon AM, Fri Eve, Tue Eve, Mon Eve, Thu AM",1,0.3527,1,0,state_mismatch
A003,S001,OH,SC,0,LMHC,"LMHC, LCSW, LPCC",1,"Mon Eve, Fri AM","Mon PM, Fri AM, Sat Eve, Tue AM",1,0.347,1,0,state_mismatch
A003,S019,OH,SC,0,LMHC,LMHC,1,"Mon Eve, Fri AM","Thu PM, Wed AM, Sat AM, Thu AM",0,0.0848,1,0,state_mismatch
A003,S035,OH,NC,0,LMHC,"LMSW, LMFT, LCSW",0,"Mon Eve, Fri AM","Wed Eve, Mon PM, Tue Eve, Tue AM",0,0.1529,3,0,state_mismatch
A003,S054,OH,SC,0,LMHC,"LMHC, LPC",1,"Mon Eve, Fri AM","Wed Eve, Tue AM, Mon PM",0,0.1538,3,0,state_mismatch
A003,S000,OH,CA,0,LMHC,"LCSW, LMSW, LPCC",0,"Mon Eve, Fri AM","Mon PM, Sat PM, Wed AM, Mon AM, Sat Eve",0,0.1821,4,0,state_mismatch
A004,S007,GA,FL,0,LCSW,"LPCC, LMHC, LPC",0,"Tue PM, Sat Eve, Tue AM","Thu Eve, Mon AM, Fri Eve, Tue Eve, Mon Eve, Thu AM",0,0.2361,1,0,state_mismatch
A004,S040,GA,NY,0,LCSW,LMFT,0,"Tue PM, Sat Eve, Tue AM","Fri Eve, Mon AM, Wed Eve, Tue Eve, Sat Eve",1,0.3947,3,0,state_mismatch
A004,S002,GA,CA,0,LCSW,LPCC,0,"Tue PM, Sat Eve, Tue AM","Thu AM, Tue Eve, Tue AM",1,0.5284,2,0,state_mismatch
A004,S023,GA,GA,1,LCSW,"LPCC, LMFT",0,"Tue PM, Sat Eve, Tue AM","Wed Eve, Fri PM, Tue PM, Mon AM, Thu Eve",1,0.2843,3,0,license_mismatch
A004,S044,GA,CA,0,LCSW,"LMSW, LPCC, LMFT",0,"Tue PM, Sat Eve, Tue AM","Wed PM, Mon Eve, Mon AM",0,0.0808,1,0,state_mismatch
A004,S009,GA,FL,0,LCSW,LMHC,0,"Tue PM, Sat Eve, Tue AM","Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",1,0.2704,1,0,state_mismatch
A004,S012,GA,CA,0,LCSW,LMFT,0,"Tue PM, Sat Eve, Tue AM","Wed AM, Fri Eve, Tue Eve",0,0.3252,1,0,state_mismatch
A004,S015,GA,FL,0,LCSW,LMFT,0,"Tue PM, Sat Eve, Tue AM","Thu PM, Wed Eve, Sat AM",0,0.1378,2,0,state_mismatch
A004,S047,GA,NY,0,LCSW,"LMHC, LCSW",1,"Tue PM, Sat Eve, Tue AM","Thu AM, Mon PM, Wed AM, Sat PM, Sat Eve, Mon Eve",1,0.3536,3,0,state_mismatch
A004,S059,GA,GA,1,LCSW,LCSW,1,"Tue PM, Sat Eve, Tue AM","Thu PM, Mon Eve, Sat Eve, Tue AM",2,0.5613,3,1,good_match
A004,S019,GA,SC,0,LCSW,LMHC,0,"Tue PM, Sat Eve, Tue AM","Thu PM, Wed AM, Sat AM, Thu AM",0,0.1266,1,0,state_mismatch
A004,S053,GA,SC,0,LCSW,LMSW,0,"Tue PM, Sat Eve, Tue AM","Thu AM, Wed Eve, Thu Eve",0,0.0803,1,0,state_mismatch
A005,S055,NY,FL,0,LCSW,"LPCC, LPC",0,"Mon AM, Tue PM","Thu Eve, Fri PM, Mon AM, Fri AM",1,0.2824,4,0,state_mismatch
A005,S012,NY,CA,0,LCSW,LMFT,0,"Mon AM, Tue PM","Wed AM, Fri Eve, Tue Eve",0,0.103,1,0,state_mismatch
A005,S019,NY,SC,0,LCSW,LMHC,0,"Mon AM, Tue PM","Thu PM, Wed AM, Sat AM, Thu AM",0,0.1149,1,0,state_mismatch
A005,S030,NY,VA,0,LCSW,"LMHC, LPCC, LMSW",0,"Mon AM, Tue PM","Fri PM, Wed AM, Thu Eve, Tue Eve, Mon PM",0,0.1902,3,0,state_mismatch
A005,S022,NY,PA,0,LCSW,"LMFT, LCSW, LPCC",1,"Mon AM, Tue PM","Sat PM, Tue PM, Fri PM",1,0.3452,2,0,state_mismatch
A005,S045,NY,SC,0,LCSW,"LMHC, LPCC",0,"Mon AM, Tue PM","Mon AM, Wed PM, Sat AM",1,0.3344,3,0,state_mismatch
A005,S003,NY,SC,0,LCSW,"LCSW, LPCC, LMFT",1,"Mon AM, Tue PM","Sat Eve, Fri PM, Thu PM, Wed PM, Thu AM, Fri Eve",0,0.0909,3,0,state_mismatch
A005,S031,NY,NY,1,LCSW,"LMSW, LCSW",1,"Mon AM, Tue PM","Thu PM, Sat PM, Thu AM, Wed Eve, Mon PM, Fri PM",0,0.1647,2,1,good_match
A005,S017,NY,TX,0,LCSW,LPCC,0,"Mon AM, Tue PM","Wed PM, Wed AM, Sat Eve, Fri PM, Sat PM",0,0.1053,2,0,state_mismatch
A005,S028,NY,VA,0,LCSW,"LCSW, LMHC",1,"Mon AM, Tue PM","Thu PM, Mon Eve, Wed PM, Wed AM, Mon PM, Tue AM",0,0.2507,3,0,state_mismatch
A005,S008,NY,FL,0,LCSW,LMSW,0,"Mon AM, Tue PM","Fri AM, Sat Eve, Sat AM, Mon PM",0,0.1506,2,0,state_mismatch
A005,S010,NY,GA,0,LCSW,LMHC,0,"Mon AM, Tue PM","Wed Eve, Thu AM, Mon AM, Mon Eve",1,0.272,4,0,state_mismatch
A006,S053,FL,SC,0,LMFT,LMSW,0,"Sat PM, Fri PM, Tue AM, Mon PM","Thu AM, Wed Eve, Thu Eve",0,0.0207,1,0,state_mismatch
A006,S000,FL,CA,0,LMFT,"LCSW, LMSW, LPCC",0,"Sat PM, Fri PM, Tue AM, Mon PM","Mon PM, Sat PM, Wed AM, Mon AM, Sat Eve",2,0.4938,4,0,state_mismatch
A006,S028,FL,VA,0,LMFT,"LCSW, LMHC",0,"Sat PM, Fri PM, Tue AM, Mon PM","Thu PM, Mon Eve, Wed PM, Wed AM, Mon PM, Tue AM",2,0.5425,3,0,state_mismatch
A006,S042,FL,SC,0,LMFT,"LCSW, LMFT",1,"Sat PM, Fri PM, Tue AM, Mon PM","Mon PM, Fri AM, Mon AM, Tue PM, Fri Eve, Thu PM",1,0.5786,2,0,state_mismatch
A006,S024,FL,PA,0,LMFT,"LPCC, LMFT",1,"Sat PM, Fri PM, Tue AM, Mon PM","Sat PM, Sat Eve, Mon AM, Fri PM",2,0.4334,4,0,state_mismatch
A006,S011,FL,OH,0,LMFT,"LMFT, LPCC",1,"Sat PM, Fri PM, Tue AM, Mon PM","Fri Eve, Fri AM, Sat PM",1,0.3171,4,0,state_mismatch
A006,S009,FL,FL,1,LMFT,LMHC,0,"Sat PM, Fri PM, Tue AM, Mon PM","Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",2,0.4465,1,0,license_mismatch
A006,S030,FL,VA,0,LMFT,"LMHC, LPCC, LMSW",0,"Sat PM, Fri PM, Tue AM, Mon PM","Fri PM, Wed AM, Thu Eve, Tue Eve, Mon PM",2,0.3698,3,0,state_mismatch
A006,S001,FL,SC,0,LMFT,"LMHC, LCSW, LPCC",0,"Sat PM, Fri PM, Tue AM, Mon PM","Mon PM, Fri AM, Sat Eve, Tue AM",2,0.5458,1,0,state_mismatch
A006,S049,FL,PA,0,LMFT,"LMHC, LMSW",0,"Sat PM, Fri PM, Tue AM, Mon PM","Tue AM, Wed AM, Thu AM, Mon PM, Wed PM, Mon AM",2,0.4254,3,0,state_mismatch
A006,S018,FL,TX,0,LMFT,"LCSW, LMSW, LPC",0,"Sat PM, Fri PM, Tue AM, Mon PM","Wed Eve, Wed AM, Thu Eve, Wed PM, Fri AM, Sat AM",0,0.2052,3,0,state_mismatch
A006,S007,FL,FL,1,LMFT,"LPCC, LMHC, LPC",0,"Sat PM, Fri PM, Tue AM, Mon PM","Thu Eve, Mon AM, Fri Eve, Tue Eve, Mon Eve, Thu AM",0,0.1228,1,0,license_mismatch
A007,S057,OH,TX,0,LMFT,"LPC, LMSW",0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Fri AM, Wed PM, Thu AM, Sat PM, Wed Eve",2,0.5373,4,0,state_mismatch
A007,S001,OH,SC,0,LMFT,"LMHC, LCSW, LPCC",0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Mon PM, Fri AM, Sat Eve, Tue AM",1,0.4463,1,0,state_mismatch
A007,S028,OH,VA,0,LMFT,"LCSW, LMHC",0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Thu PM, Mon Eve, Wed PM, Wed AM, Mon PM, Tue AM",1,0.4361,3,0,state_mismatch
A007,S020,OH,SC,0,LMFT,"LCSW, LMHC, LMFT",1,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Tue Eve, Fri PM, Thu PM, Mon PM, Fri AM, Thu Eve",0,0.2013,4,0,state_mismatch
A007,S043,OH,VA,0,LMFT,"LMSW, LPCC, LMHC",0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Sat AM, Tue PM, Thu AM, Thu Eve, Sat Eve",2,0.3398,2,0,state_mismatch
A007,S003,OH,SC,0,LMFT,"LCSW, LPCC, LMFT",1,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Sat Eve, Fri PM, Thu PM, Wed PM, Thu AM, Fri Eve",2,0.2959,3,0,state_mismatch
A007,S041,OH,GA,0,LMFT,"LMFT, LCSW",1,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Fri AM, Mon Eve, Sat AM, Tue PM, Wed Eve",2,0.3906,2,0,state_mismatch
A007,S033,OH,FL,0,LMFT,LMSW,0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Fri PM, Mon Eve, Wed Eve, Mon AM",2,0.5411,1,0,state_mismatch
A007,S009,OH,FL,0,LMFT,LMHC,0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",0,0.153,1,0,state_mismatch
A007,S053,OH,SC,0,LMFT,LMSW,0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Thu AM, Wed Eve, Thu Eve",1,0.2653,1,0,state_mismatch
A007,S049,OH,PA,0,LMFT,"LMHC, LMSW",0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Tue AM, Wed AM, Thu AM, Mon PM, Wed PM, Mon AM",2,0.4106,3,0,state_mismatch
A007,S017,OH,TX,0,LMFT,LPCC,0,"Wed Eve, Wed PM, Mon AM, Sat AM, Sat Eve","Wed PM, Wed AM, Sat Eve, Fri PM, Sat PM",2,0.5503,2,0,state_mismatch
A008,S024,TX,PA,0,LMSW,"LPCC, LMFT",0,"Sat AM, Sat PM, Wed PM","Sat PM, Sat Eve, Mon AM, Fri PM",1,0.3691,4,0,state_mismatch
A008,S034,TX,GA,0,LMSW,LPC,0,"Sat AM, Sat PM, Wed PM","Fri Eve, Mon AM, Thu PM",0,0.0817,4,0,state_mismatch
A008,S027,TX,OH,0,LMSW,"LPCC, LMSW, LMFT",1,"Sat AM, Sat PM, Wed PM","Fri Eve, Sat PM, Sat AM, Wed Eve, Tue AM",2,0.432,3,0,state_mismatch
A008,S013,TX,SC,0,LMSW,LPCC,0,"Sat AM, Sat PM, Wed PM","Sat Eve, Tue AM, Thu Eve, Thu AM",0,0.1234,1,0,state_mismatch
A008,S040,TX,NY,0,LMSW,LMFT,0,"Sat AM, Sat PM, Wed PM","Fri Eve, Mon AM, Wed Eve, Tue Eve, Sat Eve",0,0.1247,3,0,state_mismatch
A008,S049,TX,PA,0,LMSW,"LMHC, LMSW",1,"Sat AM, Sat PM, Wed PM","Tue AM, Wed AM, Thu AM, Mon PM, Wed PM, Mon AM",1,0.3719,3,0,state_mismatch
A008,S019,TX,SC,0,LMSW,LMHC,0,"Sat AM, Sat PM, Wed PM","Thu PM, Wed AM, Sat AM, Thu AM",1,0.5617,1,0,state_mismatch
A008,S009,TX,FL,0,LMSW,LMHC,0,"Sat AM, Sat PM, Wed PM","Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",0,0.0794,1,0,state_mismatch
A008,S042,TX,SC,0,LMSW,"LCSW, LMFT",0,"Sat AM, Sat PM, Wed PM","Mon PM, Fri AM, Mon AM, Tue PM, Fri Eve, Thu PM",0,0.1299,2,0,state_mismatch
A008,S026,TX,GA,0,LMSW,LPC,0,"Sat AM, Sat PM, Wed PM","Tue AM, Sat PM, Fri Eve",1,0.4519,1,0,state_mismatch
A008,S003,TX,SC,0,LMSW,"LCSW, LPCC, LMFT",0,"Sat AM, Sat PM, Wed PM","Sat Eve, Fri PM, Thu PM, Wed PM, Thu AM, Fri Eve",1,0.38,3,0,state_mismatch
A008,S051,TX,PA,0,LMSW,"LCSW, LPC",0,"Sat AM, Sat PM, Wed PM","Sat AM, Sat Eve, Fri AM, Mon AM",1,0.4364,2,0,state_mismatch
A009,S055,CA,FL,0,LMSW,"LPCC, LPC",0,"Mon PM, Mon AM, Wed AM, Wed PM","Thu Eve, Fri PM, Mon AM, Fri AM",1,0.3236,4,0,state_mismatch
A009,S004,CA,GA,0,LMSW,LPCC,0,"Mon PM, Mon AM, Wed AM, Wed PM","Sat PM, Sat AM, Thu PM, Thu Eve, Wed PM",1,0.2341,3,0,state_mismatch
A009,S003,CA,SC,0,LMSW,"LCSW, LPCC, LMFT",0,"Mon PM, Mon AM, Wed AM, Wed PM","Sat Eve, Fri PM, Thu PM, Wed PM, Thu AM, Fri Eve",1,0.2011,3,0,state_mismatch
A009,S040,CA,NY,0,LMSW,LMFT,0,"Mon PM, Mon AM, Wed AM, Wed PM","Fri Eve, Mon AM, Wed Eve, Tue Eve, Sat Eve",1,0.3577,3,0,state_mismatch
A009,S031,CA,NY,0,LMSW,"LMSW, LCSW",1,"Mon PM, Mon AM, Wed AM, Wed PM","Thu PM, Sat PM, Thu AM, Wed Eve, Mon PM, Fri PM",1,0.4366,2,0,state_mismatch
A009,S019,CA,SC,0,LMSW,LMHC,0,"Mon PM, Mon AM, Wed AM, Wed PM","Thu PM, Wed AM, Sat AM, Thu AM",1,0.259,1,0,state_mismatch
A009,S008,CA,FL,0,LMSW,LMSW,1,"Mon PM, Mon AM, Wed AM, Wed PM","Fri AM, Sat Eve, Sat AM, Mon PM",1,0.235,2,0,state_mismatch
A009,S024,CA,PA,0,LMSW,"LPCC, LMFT",0,"Mon PM, Mon AM, Wed AM, Wed PM","Sat PM, Sat Eve, Mon AM, Fri PM",1,0.2257,4,0,state_mismatch
A009,S057,CA,TX,0,LMSW,"LPC, LMSW",1,"Mon PM, Mon AM, Wed AM, Wed PM","Fri AM, Wed PM, Thu AM, Sat PM, Wed Eve",1,0.4759,4,0,state_mismatch
A009,S033,CA,FL,0,LMSW,LMSW,1,"Mon PM, Mon AM, Wed AM, Wed PM","Fri PM, Mon Eve, Wed Eve, Mon AM",1,0.4087,1,0,state_mismatch
A009,S011,CA,OH,0,LMSW,"LMFT, LPCC",0,"Mon PM, Mon AM, Wed AM, Wed PM","Fri Eve, Fri AM, Sat PM",0,0.0779,4,0,state_mismatch
A009,S037,CA,PA,0,LMSW,"LMFT, LPCC, LMHC",0,"Mon PM, Mon AM, Wed AM, Wed PM","Fri Eve, Tue AM, Fri PM, Thu PM",0,0.0989,4,0,state_mismatch
A010,S013,SC,SC,1,LPC,LPCC,0,"Fri PM, Thu Eve, Wed PM","Sat Eve, Tue AM, Thu Eve, Thu AM",1,0.2227,1,0,license_mismatch
A010,S014,SC,CA,0,LPC,LMSW,0,"Fri PM, Thu Eve, Wed PM","Thu Eve, Sat Eve, Sat AM, Mon PM, Fri Eve",1,0.2363,4,0,state_mismatch
A010,S007,SC,FL,0,LPC,"LPCC, LMHC, LPC",1,"Fri PM, Thu Eve, Wed PM","Thu Eve, Mon AM, Fri Eve, Tue Eve, Mon Eve, Thu AM",1,0.2166,1,0,state_mismatch
A010,S057,SC,TX,0,LPC,"LPC, LMSW",1,"Fri PM, Thu Eve, Wed PM","Fri AM, Wed PM, Thu AM, Sat PM, Wed Eve",1,0.4676,4,0,state_mismatch
A010,S023,SC,GA,0,LPC,"LPCC, LMFT",0,"Fri PM, Thu Eve, Wed PM","Wed Eve, Fri PM, Tue PM, Mon AM, Thu Eve",2,0.4201,3,0,state_mismatch
A010,S005,SC,PA,0,LPC,"LMFT, LPC",1,"Fri PM, Thu Eve, Wed PM","Sat AM, Fri PM, Mon PM, Thu PM",1,0.4375,1,0,state_mismatch
A010,S018,SC,TX,0,LPC,"LCSW, LMSW, LPC",1,"Fri PM, Thu Eve, Wed PM","Wed Eve, Wed AM, Thu Eve, Wed PM, Fri AM, Sat AM",2,0.5777,3,0,state_mismatch
A010,S022,SC,PA,0,LPC,"LMFT, LCSW, LPCC",0,"Fri PM, Thu Eve, Wed PM","Sat PM, Tue PM, Fri PM",1,0.3218,2,0,state_mismatch
A010,S017,SC,TX,0,LPC,LPCC,0,"Fri PM, Thu Eve, Wed PM","Wed PM, Wed AM, Sat Eve, Fri PM, Sat PM",2,0.4352,2,0,state_mismatch
A010,S001,SC,SC,1,LPC,"LMHC, LCSW, LPCC",0,"Fri PM, Thu Eve, Wed PM","Mon PM, Fri AM, Sat Eve, Tue AM",0,0.1212,1,0,license_mismatch
A010,S056,SC,SC,1,LPC,LMSW,0,"Fri PM, Thu Eve, Wed PM","Fri Eve, Tue PM, Thu AM, Wed PM, Mon AM, Wed Eve",1,0.4095,2,0,license_mismatch
A010,S006,SC,TX,0,LPC,"LPC, LPCC, LMHC",1,"Fri PM, Thu Eve, Wed PM","Mon Eve, Sat Eve, Wed Eve, Wed PM, Thu Eve, Thu PM",2,0.6823,1,0,state_mismatch
A011,S013,TX,SC,0,LMSW,LPCC,0,"Thu Eve, Fri AM, Wed AM, Mon AM, Sat PM","Sat Eve, Tue AM, Thu Eve, Thu AM",1,0.2948,1,0,state_mismatch
A011,S042,TX,SC,0,LMSW,"LCSW, LMFT",0,"Thu Eve, Fri AM, Wed AM, Mon AM, Sat PM","Mon PM, Fri AM, Mon AM, Tue PM, Fri Eve, Thu PM",2,0.4095,2,0,state_mismatch
A011,S053,TX,SC,0,LMSW,LMSW,1,"Thu Eve, Fri AM, Wed AM, Mon AM, Sat PM","Thu AM, Wed Eve, Thu Eve",1,0.4094,1,0,state_mismatch
A011,S000,TX,CA,0,LMSW,"LCSW, LMSW, LPCC",1,"Thu Eve, Fri AM, Wed AM, Mon AM, Sat PM","Mon PM, Sat PM, Wed AM, Mon AM, Sat Eve",3,0.6306,4,0,state_mismatch
