name,type,color,sweetness,crunchiness,juiciness,acidity,fiber_g,sugar_g,seeds,has_peel,typical_weight_g,is_tropical
mango,fruit,orange,7.4,1.0,8.3,4.4,2.69,15.42,few,True,200,True
cucumber,vegetable,green,4.9,5.1,8.2,2.5,0.21,1.82,few,True,226,False
strawberry,fruit,red,5.7,1.5,6.9,3.3,1.82,7.65,many,False,20,False
cucumber,vegetable,green,1.4,5.8,7.3,2.5,0.2,1.52,few,True,282,False
pear,fruit,green,5.5,2.5,7.4,4.9,5.04,16.37,few,True,174,False
bell_pepper,vegetable,green,4.8,6.4,6.7,2.6,2.02,3.63,many,True,164,False
grape,fruit,purple,7.0,2.4,7.4,4.6,1.56,2.82,few,False,4,False
blueberry,fruit,blue,6.0,1.7,5.5,2.9,2.32,11.16,few,False,1,False
potato,vegetable,brown,1.3,7.1,2.7,0.2,2.07,0.9,few,True,225,False
bell_pepper,vegetable,green,3.1,5.6,6.4,2.4,2.42,3.2,many,True,132,False
carrot,vegetable,orange,5.9,7.8,3.7,3.5,2.25,6.96,none,False,41,False
pineapple,fruit,brown,6.1,0.8,8.4,4.8,2.19,11.47,many,True,959,True
apple,fruit,red,5.7,6.2,2.1,5.8,2.43,18.03,few,True,213,False
blueberry,fruit,blue,7.4,1.9,6.5,1.7,2.12,9.52,few,False,2,False
banana,fruit,yellow,8.0,2.5,7.4,3.3,3.03,15.72,none,True,132,True
tomato,vegetable,yellow,5.2,1.1,8.2,3.0,1.94,3.86,many,False,119,False
mango,fruit,orange,9.2,2.6,10,2.9,2.91,12.81,few,True,188,True
orange,fruit,orange,5.9,2.3,8.2,5.1,2.34,10.62,none,True,130,True
watermelon,fruit,green,6.4,1.0,9.6,3.9,0.52,5.09,many,True,9572,False
strawberry,fruit,purple,7.4,2.5,6.5,3.9,1.78,6.06,many,False,19,False
cucumber,vegetable,red,3.1,7.8,8.1,2.9,0.63,1.58,few,True,379,False
mango,fruit,orange,8.9,1.5,7.4,3.6,2.09,17.02,few,True,208,True
strawberry,fruit,red,7.3,3.3,8.0,4.4,2.06,7.75,many,False,17,False
onion,vegetable,white,3.4,6.4,3.5,5.1,1.5,4.95,many,True,140,False
carrot,vegetable,orange,4.1,7.2,2.7,3.6,3.01,4.7,none,False,53,False
cucumber,vegetable,green,3.2,5.5,7.6,2.7,0.36,1.73,few,True,216,False
spinach,vegetable,green,1.1,1.9,6.9,1.9,1.41,0.18,none,False,36,False
blueberry,fruit,blue,6.1,1.1,6.1,3.8,2.24,8.37,few,False,2,False
bell_pepper,vegetable,white,3.7,4.7,7.9,2.5,2.72,3.23,many,True,119,False
carrot,vegetable,orange,5.0,8.3,3.4,3.9,2.5,2.94,none,False,81,False
cucumber,vegetable,green,2.1,5.1,7.8,1.9,0.37,2.57,few,True,329,False
onion,vegetable,white,3.5,7.0,4.1,4.9,1.84,5.72,none,True,151,False
banana,fruit,yellow,6.7,2.0,7.5,2.5,3.31,13.67,none,True,112,True
pineapple,fruit,brown,6.5,1.7,9.4,6.6,3.65,10.07,many,True,944,True
bell_pepper,vegetable,green,3.9,5.2,4.7,3.1,1.85,4.18,many,True,94,False
onion,vegetable,white,3.4,5.7,4.7,6.0,1.91,3.19,many,True,139,False
strawberry,fruit,red,4.9,2.2,6.9,4.6,2.68,7.62,many,False,19,False
cucumber,vegetable,green,4.5,4.4,8.0,1.2,0.86,1.9,few,True,241,False
cucumber,vegetable,green,2.2,6.6,8.0,2.5,0.57,3.21,few,True,346,False
mango,fruit,orange,9.0,2.4,7.8,3.4,2.2,14.3,few,True,218,True
potato,vegetable,brown,1.4,7.1,2.5,1.0,2.38,0.89,none,True,256,False
orange,fruit,orange,5.1,2.2,8.8,5.4,2.77,11.43,many,True,135,True
pineapple,fruit,brown,8.3,1.4,8.3,4.5,2.67,11.23,many,True,872,True
banana,fruit,yellow,7.1,1.5,6.3,3.6,2.91,13.75,none,True,104,True
strawberry,fruit,red,8.1,3.2,7.2,5.1,2.1,5.86,many,False,17,False
cucumber,vegetable,green,3.1,4.6,7.8,2.0,0.66,1.86,few,True,340,False
pear,fruit,green,5.2,5.5,6.5,3.3,6.3,16.71,few,True,159,False
blueberry,fruit,blue,6.9,2.4,5.8,1.9,2.09,9.12,none,False,1,False
carrot,vegetable,orange,5.3,7.7,3.9,2.3,3.11,6.7,none,False,60,False
spinach,vegetable,green,1.2,2.0,7.3,1.3,2.43,0.5,none,False,25,False
apple,fruit,red,5.8,6.4,3.6,3.5,3.34,19.85,few,True,178,False
orange,fruit,orange,4.4,2.6,7.3,4.5,2.82,10.59,many,True,137,True
strawberry,fruit,red,6.5,2.5,7.3,4.1,2.68,6.63,many,False,16,False
potato,vegetable,brown,1.7,7.0,1.3,0.8,1.67,1.08,none,True,251,False
pear,fruit,green,7.9,5.1,4.5,4.7,5.01,17.21,few,True,199,False
cucumber,vegetable,green,2.8,6.7,7.7,2.3,0.07,1.88,few,True,190,False
pineapple,fruit,brown,6.4,1.4,9.7,6.2,2.24,11.83,many,True,995,True
bell_pepper,vegetable,green,3.6,5.6,7.0,3.6,1.74,2.75,many,True,133,False
watermelon,fruit,green,6.2,0.9,9.4,1.6,0.41,5.71,many,True,9637,False
cucumber,vegetable,green,1.7,5.7,7.9,2.5,0.5,2.61,few,True,312,False
pear,fruit,green,5.5,6.7,4.8,5.5,6.07,19.09,few,True,199,False
apple,fruit,red,7.0,5.6,3.3,3.7,4.94,16.96,none,True,189,False
pear,fruit,green,5.1,6.0,6.4,3.8,5.74,20.08,few,True,194,False
cucumber,vegetable,green,3.3,5.9,7.0,1.5,0.92,2.11,few,True,338,False
pear,fruit,green,3.7,4.9,5.3,3.9,6.25,19.22,few,True,190,False
grape,fruit,purple,6.8,1.1,7.5,4.1,1.16,4.32,few,False,5,False
potato,vegetable,brown,2.2,6.8,1.7,1.0,1.97,1.13,none,True,194,False
blueberry,fruit,blue,5.5,2.0,5.7,2.6,2.13,10.77,few,False,1,False
blueberry,fruit,blue,6.0,1.9,5.2,2.5,2.63,8.05,few,False,2,False
cucumber,vegetable,green,2.4,5.5,6.7,2.5,0.64,1.77,few,True,269,False
cucumber,vegetable,green,2.5,4.9,7.4,2.7,0.71,1.83,few,True,250,False
cucumber,vegetable,green,2.9,8.1,8.3,2.9,0.76,2.26,few,True,238,False
grape,fruit,purple,8.3,1.7,7.9,4.7,1.04,4.4,few,False,7,False
watermelon,fruit,green,8.1,0.8,9.4,3.5,0.81,5.94,many,True,8589,False
onion,vegetable,white,3.7,5.5,4.0,6.1,1.62,5.69,many,True,183,False
watermelon,fruit,green,6.8,0.8,8.7,2.7,0.58,4.21,many,True,7752,False
carrot,vegetable,orange,5.2,8.7,3.2,2.7,1.89,3.79,none,False,55,False
grape,fruit,purple,6.3,1.9,6.0,4.2,1.55,4.12,few,False,4,False
mango,fruit,orange,8.8,0.5,8.5,3.3,2.55,13.25,none,True,174,True
pineapple,fruit,orange,5.1,1.5,10,7.1,2.2,13.83,many,True,726,True
pineapple,fruit,brown,7.5,1.2,9.3,6.4,2.71,10.53,many,True,857,True
pear,fruit,green,6.2,5.3,4.8,5.0,5.2,20.03,many,True,168,False
banana,fruit,yellow,7.2,3.0,6.8,2.7,2.65,18.01,none,True,114,True
bell_pepper,vegetable,green,2.9,4.5,4.4,2.7,1.38,2.5,few,True,131,False
tomato,vegetable,red,5.8,1.4,6.9,4.0,1.76,2.18,none,False,138,False
onion,vegetable,white,3.9,5.8,3.1,4.0,2.07,5.14,many,True,151,False
pear,fruit,green,6.4,5.3,6.9,3.6,4.3,17.82,few,True,171,False
watermelon,fruit,green,8.5,1.1,8.4,3.2,0.73,6.82,many,True,9531,False
blueberry,fruit,blue,5.4,3.0,5.0,3.0,2.15,7.14,few,False,1,False
pear,fruit,green,5.3,5.1,6.4,4.9,7.02,15.5,none,True,176,False
orange,fruit,orange,5.8,3.6,8.8,4.9,2.87,13.03,many,True,124,True
spinach,vegetable,green,0.6,2.0,5.7,2.3,2.94,0.49,none,False,21,False
carrot,vegetable,orange,5.3,9.7,2.1,3.3,2.21,5.86,many,False,62,False
pear,fruit,green,7.2,4.2,4.1,4.0,4.58,16.03,few,True,159,False
orange,fruit,orange,5.5,3.2,6.8,5.7,2.71,13.17,many,True,134,True
onion,vegetable,white,3.3,7.7,5.1,5.7,2.22,3.4,many,True,161,False
apple,fruit,red,6.4,7.3,5.4,3.5,3.83,17.4,few,True,194,False
orange,fruit,orange,5.4,3.5,9.4,5.0,2.63,13.54,many,True,131,True
strawberry,fruit,red,7.3,2.7,6.4,3.9,2.12,6.69,none,False,20,False
pear,fruit,green,6.3,6.3,6.3,2.6,6.94,15.63,few,True,194,False
cucumber,vegetable,green,4.1,5.6,8.6,2.3,0.47,2.93,few,True,209,False
tomato,vegetable,red,4.5,2.4,6.8,3.1,1.23,3.19,many,False,140,False
banana,fruit,blue,7.2,2.3,5.2,2.4,3.47,13.67,none,True,96,True
tomato,vegetable,red,5.1,1.0,7.7,4.9,1.59,5.05,many,False,101,False
carrot,vegetable,orange,4.5,8.2,2.4,2.5,3.1,5.55,none,False,67,False
grape,fruit,purple,6.4,2.6,7.5,4.3,1.86,4.99,few,False,4,False
orange,fruit,orange,6.2,3.6,9.8,4.6,2.8,14.23,many,True,123,True
pear,fruit,green,7.4,4.3,6.7,3.8,6.23,17.43,few,True,168,False
grape,fruit,purple,6.9,2.2,6.9,3.0,1.63,3.63,few,False,4,False
cucumber,vegetable,green,3.8,5.2,8.7,1.8,0.54,1.96,few,True,277,False
apple,fruit,red,6.2,5.4,6.2,4.5,3.64,17.66,few,True,182,False
tomato,vegetable,red,6.1,1.4,7.7,3.4,1.85,4.97,many,False,125,False
pear,fruit,green,4.1,5.9,6.1,3.2,5.82,19.65,none,True,119,False
pear,fruit,brown,6.3,4.6,6.4,3.0,5.72,15.22,none,True,147,False
carrot,vegetable,orange,3.8,7.7,1.4,1.9,2.68,3.95,none,False,74,False
watermelon,fruit,green,8.5,0.6,8.5,3.9,0.38,3.39,many,True,8371,False
grape,fruit,orange,7.5,1.4,6.9,3.9,1.12,2.6,few,False,4,False
blueberry,fruit,blue,7.7,2.7,7.0,2.1,2.05,11.38,few,False,1,False
apple,fruit,red,5.8,7.7,6.9,5.0,4.27,17.9,few,True,165,False
banana,fruit,yellow,6.1,1.7,7.4,2.5,3.55,15.97,none,True,116,True
tomato,vegetable,red,5.9,2.0,8.0,4.2,1.55,3.5,many,False,112,False
pear,fruit,green,5.6,4.0,6.2,3.3,5.92,14.24,few,True,157,False
bell_pepper,vegetable,green,3.3,4.3,6.6,3.8,1.56,1.56,many,True,107,False
apple,fruit,red,5.6,5.7,4.3,2.5,3.4,16.22,few,True,186,False
spinach,vegetable,green,0.8,1.6,7.4,2.2,3.22,0.6,none,False,23,False
bell_pepper,vegetable,green,3.4,6.1,5.9,2.3,0.88,2.72,many,True,99,False
watermelon,fruit,green,7.4,0,9.0,2.1,0.13,4.78,many,True,8143,False
banana,fruit,orange,6.0,1.5,6.1,3.0,3.23,13.63,none,True,127,True
blueberry,fruit,blue,6.1,2.2,6.7,3.6,2.68,11.55,few,False,1,False
pear,fruit,red,4.7,6.3,7.6,2.0,4.81,17.17,few,True,169,False
apple,fruit,red,7.5,7.3,5.8,4.6,4.19,16.41,few,True,213,False
orange,fruit,orange,5.3,4.0,8.6,4.6,2.61,11.73,many,True,128,True
orange,fruit,green,6.6,3.7,7.9,6.0,2.99,12.58,many,True,122,True
mango,fruit,orange,8.8,2.4,8.4,5.0,2.33,14.32,few,True,190,True
cucumber,vegetable,green,2.8,5.3,6.9,1.6,0.3,2.09,few,True,278,False
pineapple,fruit,brown,5.5,1.2,10,4.9,1.11,11.31,many,True,974,True
cucumber,vegetable,green,2.1,4.4,7.9,2.0,0.59,1.56,few,True,325,False
grape,fruit,purple,4.9,2.1,6.6,3.8,1.33,4.03,few,False,5,False
potato,vegetable,brown,1.9,6.3,2.6,0.7,2.61,1.03,none,True,187,False
apple,fruit,red,4.7,5.2,6.3,2.9,3.95,19.15,few,True,182,False
pear,fruit,red,5.7,3.4,5.3,4.7,5.72,17.24,few,True,177,False
orange,fruit,orange,3.7,2.1,9.0,6.4,1.84,13.15,many,True,132,True
spinach,vegetable,brown,1.5,2.9,6.5,1.7,2.1,0.36,none,False,15,False
carrot,vegetable,green,4.5,6.6,3.3,3.0,1.96,4.16,none,False,71,False
potato,vegetable,brown,2.1,6.3,2.3,1.4,2.61,0.9,none,True,186,False
watermelon,fruit,green,8.9,0.5,9.5,3.3,0.57,7.95,many,True,9372,False
watermelon,fruit,green,6.7,1.2,8.0,2.8,0.34,6.78,many,True,8335,False
pear,fruit,green,6.5,5.7,6.2,4.1,7.04,17.25,few,True,159,False
cucumber,vegetable,green,1.7,6.1,8.5,2.0,0.54,2.71,few,True,329,False
bell_pepper,vegetable,green,2.7,6.5,5.7,3.3,1.51,3.29,many,True,111,False
banana,fruit,yellow,6.7,1.5,5.6,3.1,2.59,14.01,none,True,121,True
mango,fruit,orange,8.1,1.7,7.6,3.9,2.64,18.94,few,True,193,True
blueberry,fruit,red,7.6,0.7,6.1,2.7,2.66,11.31,few,False,2,False
orange,fruit,orange,5.1,2.9,9.3,5.3,3.02,13.33,few,True,123,True
bell_pepper,vegetable,green,4.2,4.0,4.8,3.3,1.65,2.59,many,True,175,False
watermelon,fruit,green,8.6,2.1,8.7,2.3,0.51,6.21,many,True,9946,False
pineapple,fruit,brown,5.8,0.9,9.6,4.4,2.76,9.69,many,True,1054,True
strawberry,fruit,red,6.0,1.9,6.3,4.0,2.11,6.83,many,False,24,False
watermelon,fruit,green,7.4,1.1,9.1,2.7,0.49,7.24,many,True,8564,False
banana,fruit,yellow,6.6,1.4,5.8,3.0,3.6,13.32,none,True,118,True
cucumber,vegetable,green,3.5,6.3,7.1,1.9,0.82,3.01,many,True,344,False
banana,fruit,yellow,7.1,1.3,5.8,2.2,2.21,14.59,none,True,126,True
cucumber,vegetable,green,2.6,7.1,8.6,1.9,0.93,1.65,few,True,317,False
orange,fruit,orange,6.9,3.7,6.1,5.3,2.95,10.81,many,True,133,True
grape,fruit,purple,6.7,1.1,4.9,3.7,1.51,2.88,many,False,3,False
apple,fruit,red,7.1,5.4,6.7,2.9,3.83,22.49,few,True,203,False
apple,fruit,red,6.7,4.8,6.4,3.3,3.77,21.01,few,True,181,False
pear,fruit,green,5.2,4.8,5.9,3.8,2.94,14.7,few,True,152,False
bell_pepper,vegetable,green,3.3,5.3,5.5,2.9,2.54,3.77,many,True,90,False
strawberry,fruit,red,7.8,3.7,7.6,4.5,2.17,6.57,many,False,21,False
carrot,vegetable,orange,4.4,7.5,2.3,1.9,2.32,5.03,none,False,56,False
onion,vegetable,orange,2.9,4.5,4.4,5.9,2.06,3.68,many,True,114,False
watermelon,fruit,green,7.5,0.4,8.5,1.8,0.53,5.25,many,True,8727,False
apple,fruit,red,6.6,5.2,7.1,3.9,3.5,18.25,few,True,201,False
tomato,vegetable,purple,5.6,1.9,8.4,4.6,1.63,4.23,many,False,119,False
blueberry,fruit,blue,6.7,0.9,6.4,3.2,2.45,6.84,few,False,1,False
banana,fruit,yellow,7.4,1.7,6.1,3.4,3.94,14.04,none,True,115,True
bell_pepper,vegetable,green,5.5,5.7,5.5,3.3,2.09,3.3,many,True,107,False
watermelon,fruit,green,8.3,0,9.6,3.5,0.65,7.29,many,True,10900,False
cucumber,vegetable,green,2.7,6.5,8.2,1.7,0.34,2.27,few,True,364,False
potato,vegetable,brown,2.0,7.5,2.1,0.5,2.16,0.81,none,True,235,False
bell_pepper,vegetable,green,4.1,5.6,5.1,2.2,1.7,2.74,many,True,124,False
strawberry,fruit,red,6.6,3.6,6.4,3.7,2.26,6.29,many,False,17,False
blueberry,fruit,blue,6.6,2.0,5.0,3.9,2.32,9.92,few,False,1,False
strawberry,fruit,red,7.7,2.5,7.4,4.0,1.9,7.27,few,False,18,False
onion,vegetable,white,3.1,7.0,3.5,4.9,1.76,4.26,many,True,137,False
apple,fruit,red,4.7,6.9,4.4,3.3,4.1,17.7,few,True,191,False
strawberry,fruit,red,7.8,3.6,6.9,3.1,1.91,7.69,many,False,18,False
potato,vegetable,brown,1.5,6.7,2.8,1.0,1.69,0.94,none,True,234,False
orange,fruit,orange,4.6,2.6,6.6,4.9,3.27,12.31,many,True,105,True
apple,fruit,red,5.5,5.8,5.5,3.3,4.71,19.01,few,True,141,False
mango,fruit,orange,8.8,1.9,6.7,4.0,3.19,16.39,few,True,229,True
carrot,vegetable,orange,7.7,6.8,3.5,4.1,2.82,5.18,none,False,54,False
mango,fruit,orange,7.7,1.9,7.4,3.9,2.11,12.77,few,True,191,True
carrot,vegetable,orange,4.6,7.6,4.7,3.5,2.67,7.17,none,False,48,False
pineapple,fruit,brown,7.3,0.7,9.4,6.1,1.07,10.0,many,True,920,True
pear,fruit,green,5.6,3.3,5.7,5.3,5.21,18.89,few,True,166,False
apple,fruit,red,4.3,4.8,4.8,2.9,4.43,19.23,few,True,199,False
spinach,vegetable,green,1.3,1.4,8.6,1.5,1.24,0.0,none,False,26,False
orange,fruit,orange,7.7,2.3,9.3,5.2,2.87,13.15,many,True,129,True
blueberry,fruit,blue,5.9,2.0,5.3,3.1,2.61,8.06,few,False,1,False
tomato,vegetable,blue,5.2,1.2,7.7,4.1,1.41,3.21,none,False,97,False
tomato,vegetable,red,6.3,2.3,9.0,4.1,1.39,3.14,none,False,158,False
cucumber,vegetable,green,3.2,5.6,8.2,2.9,0.48,1.38,few,True,210,False
pear,fruit,green,5.6,5.7,5.7,4.7,5.98,20.14,few,True,168,False
carrot,vegetable,orange,5.8,6.5,3.2,3.2,2.54,5.1,none,False,65,False
tomato,vegetable,red,5.2,2.7,9.0,3.8,1.36,4.59,many,False,107,False
pear,fruit,green,4.9,5.8,4.0,3.5,6.21,16.26,few,True,175,False
carrot,vegetable,orange,5.9,8.7,2.3,3.2,2.35,5.3,none,False,80,False
mango,fruit,orange,7.8,2.9,8.1,2.5,2.35,13.79,few,True,216,True
cucumber,vegetable,green,3.4,5.4,7.1,1.5,0.57,1.69,few,True,351,False
apple,fruit,red,4.9,6.7,9.1,3.7,3.98,19.92,few,True,184,False
apple,fruit,red,5.3,6.9,5.6,4.3,3.72,18.89,few,True,199,False
watermelon,fruit,green,6.2,1.2,8.6,3.0,0.46,8.38,many,True,9330,False
onion,vegetable,white,3.1,6.5,4.3,5.1,1.8,5.16,none,True,142,False
blueberry,fruit,blue,7.4,2.6,6.0,3.4,2.17,12.7,few,False,1,False
orange,fruit,orange,4.9,2.0,7.9,4.8,2.74,9.7,many,True,135,True
watermelon,fruit,green,6.6,0.2,10,3.3,0.86,5.37,many,True,10328,False
onion,vegetable,green,2.2,5.8,3.3,4.4,1.75,5.97,many,True,128,False
watermelon,fruit,green,6.7,0.8,9.1,2.3,1.08,4.95,many,True,5149,False
apple,fruit,red,6.0,6.4,3.4,3.3,4.68,16.82,few,True,161,False
pineapple,fruit,brown,6.3,1.4,10,4.9,1.68,7.57,many,True,889,True
blueberry,fruit,blue,6.3,3.1,5.6,3.6,2.44,12.61,few,False,1,False
potato,vegetable,brown,2.5,6.8,2.4,0.8,1.31,1.02,none,True,177,False
onion,vegetable,white,2.3,6.3,4.1,5.6,2.2,6.12,many,True,156,False
potato,vegetable,brown,1.9,5.7,2.3,1.0,1.58,0.75,none,True,234,False
orange,fruit,orange,6.5,3.9,9.4,5.5,1.77,11.45,many,True,125,True
pear,fruit,green,7.5,4.4,5.9,3.3,6.08,18.8,few,True,218,False
cucumber,vegetable,brown,2.9,6.9,7.3,2.4,0.73,2.38,few,True,267,False
watermelon,fruit,green,7.7,0.7,8.4,3.4,0.58,5.27,many,True,10289,False
bell_pepper,vegetable,green,3.7,6.4,4.8,3.6,1.81,5.01,many,True,113,False
grape,fruit,purple,8.2,1.8,6.6,3.1,1.79,5.42,few,False,3,False
onion,vegetable,white,3.0,4.2,3.7,4.6,1.41,6.19,many,True,167,False
cucumber,vegetable,green,2.8,5.1,8.8,2.4,0.38,1.35,few,True,340,False
strawberry,fruit,red,6.2,2.4,5.3,3.8,1.91,6.54,many,False,19,False
mango,fruit,orange,10,1.8,8.4,2.8,3.11,13.64,few,True,184,True
apple,fruit,red,6.0,4.8,5.7,3.5,3.45,17.7,few,True,186,False
watermelon,fruit,green,8.0,2.2,9.4,3.6,0.38,4.9,many,True,9409,False
cucumber,vegetable,green,2.8,6.0,7.7,2.0,0.69,2.12,many,True,310,False
grape,fruit,purple,6.9,1.1,8.2,3.5,1.46,4.62,few,False,5,False
watermelon,fruit,green,7.8,1.0,8.5,2.8,0.38,6.49,many,True,7319,False
mango,fruit,orange,7.5,1.2,7.1,4.3,3.98,14.54,few,True,198,True
potato,vegetable,brown,2.7,5.8,1.5,1.6,2.07,1.06,none,True,205,False
strawberry,fruit,red,7.0,3.7,6.6,4.4,2.11,7.29,many,False,18,False
potato,vegetable,green,1.1,5.8,1.8,0.6,3.29,1.17,none,True,193,False
banana,fruit,yellow,6.5,2.7,7.3,4.3,2.97,12.74,none,True,123,True
banana,fruit,yellow,6.4,0.9,4.2,2.4,4.19,13.35,none,True,127,True
blueberry,fruit,green,5.4,2.4,6.5,2.7,2.26,11.83,few,False,1,False
pineapple,fruit,brown,5.8,1.7,8.9,6.2,1.91,8.47,many,True,1079,True
pear,fruit,green,4.3,6.4,6.8,5.6,4.49,17.15,few,True,164,False
pear,fruit,green,6.2,4.5,6.9,3.4,5.16,14.56,few,True,147,False
grape,fruit,purple,5.8,2.1,7.7,3.8,1.37,3.08,few,False,5,False
orange,fruit,orange,5.5,3.3,7.8,4.8,3.06,11.85,many,True,126,True
pear,fruit,green,6.4,5.7,5.1,3.4,5.72,17.41,few,True,185,False
strawberry,fruit,green,6.7,4.1,6.2,3.8,1.8,8.21,many,False,19,False
potato,vegetable,brown,2.6,8.0,2.4,1.4,2.86,0.9,none,True,184,False
onion,vegetable,white,3.0,5.2,2.0,3.0,1.99,3.69,many,True,146,False
onion,vegetable,white,3.5,7.1,3.9,5.3,0.88,4.8,many,True,123,False
onion,vegetable,white,3.4,3.9,3.9,4.2,1.51,3.84,none,True,149,False
watermelon,fruit,green,6.8,1.2,10,2.5,0.74,5.0,many,True,10612,False
grape,fruit,purple,6.6,1.8,6.8,3.9,1.63,4.79,few,False,5,False
watermelon,fruit,green,8.0,0.7,9.7,3.2,1.09,10.08,few,True,8835,False
